"","goals_rmse","goals_mae","result_accuracy","result_kappa","bayes_rmse","bayes_mae"
"no_polling",1.53939136220973,1.19788365862478,0.560225988700565,0.298760961807994,NA,NA
"partial_polling",2.39876497803484,1.93822884469907,0.482485875706215,0.134448451924124,NA,NA
"complete_polling",1.34133227095457,1.08314925417094,0.598870056497175,0.363358379535065,1.34115045169136,1.08252538531401
