"Date","Adj Close","Close","High","Low","Open","Volume"
"2020-01-13 00:00:00+00:00",76.82177734375,79.2399978637695,79.2675018310547,77.7874984741211,77.9100036621094,121532000
"2020-01-14 00:00:00+00:00",75.7844390869141,78.1699981689453,79.3925018310547,78.0425033569336,79.1750030517578,161954400
"2020-01-15 00:00:00+00:00",75.4596710205078,77.8349990844727,78.875,77.3874969482422,77.9625015258789,121923600
"2020-01-16 00:00:00+00:00",76.4049072265625,78.8099975585938,78.9250030517578,78.0224990844727,78.3974990844727,108829200
"2020-01-17 00:00:00+00:00",77.2507934570312,79.682502746582,79.6849975585938,78.75,79.067497253418,137816400
"2020-01-21 00:00:00+00:00",76.7272567749023,79.1425018310547,79.754997253418,79,79.2975006103516,110843200
"2020-01-22 00:00:00+00:00",77.0011444091797,79.4250030517578,79.9974975585938,79.3274993896484,79.6449966430664,101832400
"2020-01-23 00:00:00+00:00",77.3719711303711,79.807502746582,79.8899993896484,78.9124984741211,79.4800033569336,104472000
"2020-01-24 00:00:00+00:00",77.1490020751953,79.5774993896484,80.8324966430664,79.379997253418,80.0625,146537600
"2020-01-27 00:00:00+00:00",74.8804092407227,77.2375030517578,77.942497253418,76.2200012207031,77.5149993896484,161940000
"2020-01-28 00:00:00+00:00",76.9987182617188,79.4225006103516,79.5999984741211,78.0475006103516,78.1500015258789,162234000
"2020-01-29 00:00:00+00:00",78.6104888916016,81.0849990844727,81.9625015258789,80.3450012207031,81.1125030517578,216229200
"2020-01-30 00:00:00+00:00",78.4965591430664,80.9674987792969,81.0224990844727,79.6875,80.1350021362305,126743200
"2020-01-31 00:00:00+00:00",75.0161514282227,77.3775024414062,80.6699981689453,77.0725021362305,80.2324981689453,199588400
"2020-02-03 00:00:00+00:00",74.8101272583008,77.1650009155273,78.3724975585938,75.5550003051758,76.0749969482422,173788400
"2020-02-04 00:00:00+00:00",77.279899597168,79.7125015258789,79.9100036621094,78.4075012207031,78.8274993896484,136616400
"2020-02-05 00:00:00+00:00",77.910041809082,80.3625030517578,81.1900024414062,79.7375030517578,80.879997253418,118826800
"2020-02-06 00:00:00+00:00",78.8213500976562,81.3024978637695,81.3050003051758,80.0650024414062,80.6425018310547,105425600
"2020-02-07 00:00:00+00:00",77.7499542236328,80.0074996948242,80.8499984741211,79.5,80.5924987792969,117684000
"2020-02-10 00:00:00+00:00",78.1192321777344,80.3874969482422,80.3874969482422,78.4625015258789,78.5449981689453,109348800
"2020-02-11 00:00:00+00:00",77.6479187011719,79.9024963378906,80.9749984741211,79.6774978637695,80.9000015258789,94323200
"2020-02-12 00:00:00+00:00",79.4918746948242,81.8000030517578,81.8050003051758,80.3675003051758,80.3675003051758,113730400
"2020-02-13 00:00:00+00:00",78.9258270263672,81.2174987792969,81.5550003051758,80.8375015258789,81.0475006103516,94747600
"2020-02-14 00:00:00+00:00",78.9452285766602,81.2375030517578,81.495002746582,80.7125015258789,81.1849975585938,80113600
"2020-02-18 00:00:00+00:00",77.4997177124023,79.75,79.9375,78.6524963378906,78.8399963378906,152531200
"2020-02-19 00:00:00+00:00",78.6221313476562,80.9049987792969,81.1425018310547,80,80,93984000
"2020-02-20 00:00:00+00:00",77.8155517578125,80.0749969482422,81.1624984741211,79.5524978637695,80.6575012207031,100566000
"2020-02-21 00:00:00+00:00",76.05419921875,78.2624969482422,80.1125030517578,77.625,79.6549987792969,129554000
"2020-02-24 00:00:00+00:00",72.4415893554688,74.5449981689453,76.0449981689453,72.307502746582,74.3150024414062,222195200
"2020-02-25 00:00:00+00:00",69.9878387451172,72.0199966430664,75.6324996948242,71.5325012207031,75.2375030517578,230673600
"2020-02-26 00:00:00+00:00",71.0981063842773,73.1624984741211,74.4700012207031,71.625,71.6324996948242,198054800
"2020-02-27 00:00:00+00:00",66.4505462646484,68.379997253418,71.5,68.2399978637695,70.2750015258789,320605600
"2020-02-28 00:00:00+00:00",66.4116668701172,68.3399963378906,69.6025009155273,64.0924987792969,64.3150024414062,426510000
"2020-03-02 00:00:00+00:00",72.5946426391602,74.7024993896484,75.3600006103516,69.4300003051758,70.5699996948242,341397200
"2020-03-03 00:00:00+00:00",70.2890853881836,72.3300018310547,76,71.4499969482422,75.9175033569336,319475600
"2020-03-04 00:00:00+00:00",73.5494003295898,75.6849975585938,75.8499984741211,73.2825012207031,74.1100006103516,219178400
"2020-03-05 00:00:00+00:00",71.163703918457,73.2300033569336,74.8874969482422,72.8525009155273,73.879997253418,187572800
